epoch,loss,val_loss
0,2.26215834118193e-05,9.745948045747355e-05
0,1.7042921172105707e-05,0.00011448258010204881
1,1.1353249647072516e-05,9.526623762212694e-05
2,8.308013093483169e-06,0.00016014979337342083
3,6.307626790658105e-06,0.00010482067591510713
4,6.064291028451407e-06,9.168501128442585e-05
5,7.222630301839672e-06,0.00010478626791154966
6,1.0195690265391022e-05,0.007492305710911751
7,1.0868574463529512e-05,0.00011039483797503635
8,1.5947043721098453e-05,5.9477715694811195e-05
9,7.369256763922749e-06,0.0001647065655561164
10,5.537416654988192e-06,0.0002019155799644068
11,4.675521267927252e-06,8.447950676782057e-05
12,4.871866622124799e-06,7.482410728698596e-05
13,4.625057044904679e-06,0.00013875540753360838
14,4.598268787958659e-06,8.330815762747079e-05
15,4.408866061567096e-06,0.00010450102854520082
16,6.402541657735128e-06,0.00028527501854114234
17,5.655326731357491e-06,0.00012238243652973324
18,6.699852292513242e-06,8.410779992118478e-05
19,5.6782337196636945e-06,7.178508531069383e-05
20,4.82736049889354e-06,5.812923700432293e-05
21,4.345271008787677e-06,0.00014123428263701499
22,4.403257662488613e-06,0.00016744612366892397
23,3.938721420126967e-06,9.17514698812738e-05
24,3.6981152788939653e-06,6.164798833196983e-05
25,3.6920655475114472e-06,0.0019834102131426334
26,4.312133114581229e-06,5.75416415813379e-05
27,3.4279705687367823e-06,0.00012562160554807633
28,3.8049072372814408e-06,9.096144640352577e-05
29,6.1993296185391955e-06,0.0003825972380582243
30,5.848915407113964e-06,0.00012489936489146203
31,3.509458338157856e-06,0.00010213044879492372
32,3.6827959775109775e-06,0.00011356243339832872
33,3.8017162751202704e-06,0.00030455325031653047
34,4.690040441346355e-06,5.7156845286954194e-05
35,3.2826380902406527e-06,0.00011578314297366887
36,3.4097272418875946e-06,8.827742567518726e-05
37,3.50455115949444e-06,9.564209904056042e-05
38,2.940414333352237e-06,5.968723417026922e-05
39,3.2046198157331673e-06,0.00014562044816557318
40,3.162134817102924e-06,6.686143024126068e-05
41,4.9710588427842595e-06,9.048442734638229e-05
42,4.086617536813719e-06,0.0001979915250558406
43,4.4477119445218705e-06,8.751392306294292e-05
44,3.880049462168245e-06,5.621721356874332e-05
45,3.7523600440181326e-06,7.662222924409434e-05
46,3.002080802616547e-06,9.414399391971529e-05
47,3.158356548738084e-06,6.214365566847846e-05
48,5.164365120435832e-06,0.0001990185264730826
49,4.944469765177928e-06,0.00020201769075356424
50,3.7351080663938774e-06,0.0004672714276239276
51,3.7668689856218407e-06,5.034250352764502e-05
52,4.324298060964793e-06,0.00019580911612138152
53,3.4154732020397205e-06,0.00010727343033067882
54,3.7677841646654997e-06,9.958932059817016e-05
55,2.690052497200668e-06,0.0001085757976397872
56,2.9057005122012924e-06,8.265073120128363e-05
57,2.6823240659723524e-06,0.0003453328681644052
58,3.929229023924563e-06,0.003192703705281019
59,5.537453944270965e-06,0.0005004587001167238
60,3.7937670640530996e-06,0.003869284177199006
61,5.605503702099668e-06,0.00010231645137537271
62,4.0884106056182645e-06,0.00011018438817700371
63,3.4134495763282757e-06,0.000142136326758191
64,4.648769845516654e-06,6.953842239454389e-05
65,2.9972045467729913e-06,9.641566430218518e-05
66,1.2206771316414233e-05,0.00013957823102828115
67,6.266570380830672e-06,0.0002541080175433308
68,3.572259629436303e-06,0.00014268208178691566
69,4.542550414043944e-06,0.0003001207369379699
70,3.052082547583268e-06,8.281542977783829e-05
71,3.0098476599960122e-06,8.090729534160346e-05
72,3.435549388086656e-06,0.00027338339714333415
73,3.4233264614158543e-06,0.00011216371785849333
74,3.01654108625371e-06,0.00016344719915650785
75,2.5170720618916675e-06,0.00011187818745383993
76,2.5775746053113835e-06,8.213720138883218e-05
77,4.12786221204442e-06,8.146039181156084e-05
78,3.943837782571791e-06,0.0024764128029346466
79,3.4802690151991555e-06,0.00023365244851447642
80,4.153602276346646e-06,0.00032293901313096285
81,4.218036337988451e-06,0.00010648516763467342
82,2.6922198230749927e-06,0.00015187595272436738
83,1.0840541108336765e-05,0.0019507090328261256
84,3.859902335534571e-06,0.0004940821090713143
85,3.32363742927555e-06,9.590629633748904e-05
86,2.814389517880045e-06,8.046573930187151e-05
87,2.6520781375438673e-06,0.0002969051420222968
88,3.0879612040735083e-06,0.00025028674281202257
89,4.823053586733295e-06,0.0001953464379766956
90,3.307958877485362e-06,0.00035196769749745727
91,2.50666471401928e-06,0.0001803433697205037
92,3.2729105896578403e-06,0.00010321529407519847
93,2.4783807930361945e-06,6.43693856545724e-05
94,2.8649285468418384e-06,8.945090667111799e-05
95,2.772715788523783e-06,0.001323443022556603
96,2.4261896669486305e-06,0.0002736108435783535
97,3.3708549835864687e-06,0.00020994376973249018
98,5.439662345452234e-06,0.000382135680411011
99,3.255144974900759e-06,0.002853818004950881
100,2.690359906409867e-06,0.000300220592180267
101,2.4491250769642647e-06,0.00011488650488900021
102,2.762822759905248e-06,0.0005022543482482433
103,3.093665509368293e-05,0.0018895788816735148
104,0.0003137648163828999,0.0001396334555465728
105,5.9609737945720553e-05,0.0015577089507132769
106,0.00020449154544621706,0.00023664391483180225
107,4.1570609027985483e-05,0.00011048228043364361
108,2.8884091079817154e-05,5.9809128288179636e-05
109,1.4985862435423769e-05,6.577678868779913e-05
110,1.2604568837559782e-05,4.259294655639678e-05
111,1.2066309864167124e-05,4.3722007831092924e-05
112,9.679936738393735e-06,9.203211811836809e-05
113,7.74899854150135e-06,5.846560452482663e-05
114,7.094049124134472e-06,0.00012188430991955101
115,9.020604011311661e-06,7.971119339345023e-05
116,7.503698270738823e-06,7.061714131850749e-05
117,6.308982392511098e-06,8.391818846575916e-05
118,6.280438810790656e-06,6.576649320777506e-05
119,5.525776941794902e-06,6.854922685306519e-05
120,6.323064553725999e-06,8.042995614232495e-05
121,6.232800842553843e-06,4.4721175072481856e-05
122,5.030105967307463e-06,5.3677300456911325e-05
123,4.466855443752138e-06,7.763867324683815e-05
124,4.071802322869189e-06,0.00011252755939494818
125,5.697258529835381e-06,4.684672603616491e-05
126,5.453050107462332e-06,6.949705857550725e-05
127,4.084899046574719e-06,4.266424002707936e-05
128,3.9111473597586155e-06,4.5911270717624575e-05
129,3.929314061679179e-06,0.0001084730465663597
130,5.046794740337646e-06,9.655559551902115e-05
131,4.577686013362836e-06,4.881136555923149e-05
132,3.7090030673425645e-06,6.778561510145664e-05
133,3.5064535950368736e-06,0.0014234079280868173
134,4.475423793337541e-06,7.552056922577322e-05
135,3.4314173262828263e-06,7.64607175369747e-05
136,4.644880846171873e-06,0.00011156790424138308
137,6.378168563969666e-06,7.960426592035219e-05
138,4.2519800445006695e-06,9.734834748087451e-05
139,3.220206281184801e-06,6.740872777299955e-05
140,3.1178969948086888e-06,6.547851080540568e-05
141,2.9504860776796704e-06,9.618076728656888e-05
142,3.417409516259795e-06,7.936339534353465e-05
143,5.682285063812742e-06,5.395166590460576e-05
144,4.094755695405183e-06,7.466303213732317e-05
145,3.665330496005481e-06,6.907833449076861e-05
146,3.6770391034224303e-06,0.00012459482240956277
147,8.28842257760698e-06,7.493363227695227e-05
148,7.263610314112157e-06,0.00017077551456168294
149,8.47614592203172e-06,0.0023593418300151825
150,7.427393484249478e-06,6.073824624763802e-05
151,5.996001618768787e-06,0.00015826137678232044
152,1.0964787179545965e-05,0.00038049768772907555
153,9.566860171617009e-06,7.891514542279765e-05
154,7.361703865171876e-06,6.458269490394741e-05
155,5.951436833129264e-06,8.611743396613747e-05
156,4.011684268334648e-06,9.070339729078114e-05
157,3.8682424019498285e-06,7.732457015663385e-05
158,3.568466581782559e-06,9.377876995131373e-05
159,3.459717390796868e-06,0.00038252660306170583
160,4.5372826207312755e-06,6.416000542230904e-05
161,3.3616329346841667e-06,7.106043631210923e-05
162,4.78753690913436e-06,0.00034274408244527876
163,3.7571492157439934e-06,0.00010951260628644377
164,2.918228574344539e-06,6.469545769505203e-05
165,4.3270997593936045e-06,8.968007023213431e-05
166,3.217065795979579e-06,0.0002470218460075557
167,4.085693035449367e-06,4.217655805405229e-05
168,4.554752649710281e-06,9.923264587996528e-05
169,4.845609055337263e-06,0.00010666120942914858
170,4.3104173528263345e-06,6.63740502204746e-05
171,4.335872290539555e-06,8.07146861916408e-05
172,9.958049304259475e-06,0.00015343852282967418
173,5.9868357311643194e-06,6.690427107969299e-05
174,7.627328614034923e-06,0.00010074949386762455
175,5.996423169563059e-06,0.00011555680976016447
176,4.83230542158708e-06,0.00011239840387133881
177,3.5135667530994397e-06,0.00013973501336295158
178,3.5860825846611988e-06,5.1558999984990805e-05
179,3.035708459719899e-06,7.874690345488489e-05
180,2.7269454676570604e-06,6.844713061582297e-05
181,3.4676950235734694e-06,3.589715561247431e-05
182,2.9606715088448254e-06,7.458109030267224e-05
183,3.1575607408740325e-06,0.0004627646703738719
184,3.683994464154239e-06,0.0001327785721514374
185,3.5761520393862156e-06,5.50754411960952e-05
186,2.6699533464125125e-06,4.7248810005839914e-05
187,3.671604417831986e-06,0.00011693521810229868
188,3.1083347948879236e-06,4.507263292907737e-05
189,2.592051487226854e-06,0.00047372604603879154
190,2.6011509817180922e-06,0.00012372990022413433
191,2.8376903173921164e-06,3.650420330814086e-05
192,2.7585720090428367e-06,4.986753629054874e-05
193,4.272465957910754e-06,0.0003309205640107393
194,5.139844233781332e-06,9.259309445042163e-05
195,5.37978394277161e-06,0.00011347694817231968
196,4.7174698920571245e-06,0.00013268060865812004
197,3.14984413307684e-06,7.098350033629686e-05
198,3.913282853318378e-06,9.901962039293721e-05
199,2.762516487564426e-06,0.00010283698793500662
200,3.0022222290426726e-06,9.783761925064027e-05
201,2.279534328408772e-06,0.00014721890329383314
202,2.7639509880827973e-06,0.000494082341901958
203,2.7931334898312343e-06,6.916237180121243e-05
204,2.7925184440391604e-06,4.190148683846928e-05
205,4.596472081175307e-06,4.101982631254941e-05
206,3.555523790055304e-06,0.00010913461301242933
207,3.085672688030172e-06,0.00010191745241172612
208,2.5975402877520537e-06,0.00012702777166850865
209,2.659775418578647e-06,0.00010280073183821514
210,2.9015693598921644e-06,9.11569659365341e-05
211,2.7419996513344813e-06,0.00011644164624158293
212,2.8903914426336996e-06,7.25740974303335e-05
213,2.5422864382562693e-06,3.572547575458884e-05
214,2.5146159714495298e-06,5.407505523180589e-05
215,2.2227038698474644e-06,8.323222573380917e-05
216,2.3507122932642233e-06,8.632472599856555e-05
217,2.8006879801978357e-06,7.646257290616632e-05
218,2.3458133000531234e-06,9.624790254747495e-05
219,2.7116502678836696e-06,9.201025386573747e-05
220,3.4198576486232923e-06,9.101284376811236e-05
221,5.922769560129382e-06,0.00011046115832868963
222,4.645015451387735e-06,0.00010397743608336896
223,3.39712073582632e-06,0.00010196227231062949
224,6.922628017491661e-06,7.610342436237261e-05
225,3.803355639320216e-06,0.00012172794959042221
226,2.8433307761588367e-06,7.5876472692471e-05
227,4.383277428132715e-06,6.24932799837552e-05
228,2.938896841442329e-06,6.42494487692602e-05
229,3.677276481539593e-06,6.483029574155807e-05
230,6.752808985766023e-06,0.001999069470912218
231,3.525140527926851e-06,0.000124188547488302
232,2.4209875846281648e-06,6.640019273618236e-05
233,3.3993833312706556e-06,9.979369497159496e-05
234,3.3967332910833647e-06,9.282365499529988e-05
235,2.8335653041722253e-06,5.5433141824323684e-05
236,3.050230134249432e-06,0.005471590906381607
237,2.4093790216284106e-06,0.0001142507026088424
238,2.25498411055014e-06,9.869455971056595e-05
239,2.3980064725037664e-06,0.0002331956784473732
240,2.29508714255644e-06,8.203337347367778e-05
241,3.7967968182783807e-06,0.0004989670123904943
242,2.265666580569814e-06,5.738787876907736e-05
243,2.556007302700891e-06,0.0002851161698345095
244,2.697233412618516e-06,7.056753383949399e-05
245,2.3420741399604594e-06,7.136198109947145e-05
246,2.012212462432217e-06,7.211458432720974e-05
247,2.4646035399200628e-06,0.00011890602036146447
248,2.5197114155162126e-06,0.00011408607679186389
249,2.439184072500211e-06,0.00011647448991425335
250,2.431729171803454e-06,0.00012857145338784903
251,2.4269847926916555e-06,8.212713873945177e-05
252,2.255557092212257e-06,0.0001067025659722276
253,3.7377910757641075e-06,8.448684093309566e-05
254,2.7659416446113028e-06,9.742680413182825e-05
255,3.0762978440179722e-06,0.00010261180432280526
256,6.325083177216584e-06,6.448591739172116e-05
257,4.1284797589469235e-06,4.719890421256423e-05
258,8.807770427665673e-06,0.00018101983005180955
259,4.531930244411342e-06,9.600078192306682e-05
260,5.3963872232998256e-06,8.994973177323118e-05
261,7.14898924343288e-05,0.0032667997293174267
262,0.00030367818544618785,0.0002823330869432539
263,7.655121589777991e-05,0.00949177611619234
264,2.4477198167005554e-05,0.00903461966663599
265,1.8112610632670112e-05,9.660854266257957e-05
266,1.4176702279655728e-05,0.00023870464065112174
267,1.2110718671465293e-05,0.0003233780153095722
268,1.3266619134810753e-05,0.0002505081065464765
269,9.042993951879907e-06,0.00017892455798573792
270,8.911760232876986e-06,0.0001621590490685776
271,7.73852843849454e-06,7.330068183364347e-05
272,6.701607162540313e-06,0.00027668767143040895
273,5.946096734987805e-06,0.0009446342010051012
274,5.5765308388799895e-06,0.0001341124443570152
275,5.685745236405637e-06,0.00032254206598736346
276,4.919053026242182e-06,7.913664012448862e-05
277,4.536919277597917e-06,0.0016478138277307153
278,5.527865596377524e-06,0.009829352609813213
279,4.805336629942758e-06,8.488115418003872e-05
280,4.75455181003781e-06,0.00048641994362697005
281,3.832317361229798e-06,0.00014562238357029855
282,4.826977601624094e-06,0.00012949042138643563
283,3.655934960988816e-06,0.00010896469029830769
284,5.012603196519194e-06,0.00011662249744404107
285,3.5827388273901306e-06,6.402839790098369e-05
286,3.7055456232337747e-06,7.927441038191319e-05
287,5.232900093687931e-06,0.000967404106631875
288,6.551906153617892e-06,0.00010742405720520765
289,4.810840891877888e-06,8.643537876196206e-05
290,4.364938376966165e-06,7.759156142128631e-05
291,5.731413693865761e-06,0.00011772507423302159
292,3.717491381394211e-06,0.0002744687080848962
293,4.095589247299358e-06,0.0001154805941041559
294,4.023389919893816e-06,0.00015328629524447024
295,3.0416936169785913e-06,0.00010395130811957642
296,4.691744834417477e-06,0.0002012820477830246
297,3.838070824713213e-06,0.00014320533955469728
298,3.5770281101576984e-06,0.000162892320076935
299,3.4449767554178834e-06,9.119402238866314e-05
300,4.391632955957903e-06,0.00011434421321609989
301,3.40598512593715e-06,0.00029642326990142465
302,3.0981600502855144e-06,7.692306098761037e-05
303,3.3205392355739605e-06,0.00010727689368650317
304,3.026627382496372e-06,0.00011577500845305622
305,8.575840183766559e-06,5.251906986813992e-05
306,3.303199946458335e-06,6.42077429802157e-05
307,3.2692951208446175e-06,0.00010103335080202669
308,2.5200668005709304e-06,0.00021093172836117446
309,3.6651033497037133e-06,4.5356046030065045e-05
310,3.617900347308023e-06,6.863164890091866e-05
311,2.5917865968949627e-06,0.00015474892279598862
312,3.017038125108229e-06,7.217180245788768e-05
313,4.369286671135342e-06,0.0008366327383555472
314,5.02013699588133e-06,7.148079021135345e-05
315,4.158620413363678e-06,8.520119445165619e-05
316,3.383669536560774e-06,7.820501195965335e-05
317,2.5974436539399903e-06,5.232115290709771e-05
318,3.6627443478209898e-06,7.884496881160885e-05
319,4.523373263509711e-06,0.00010412517440272495
320,3.3658482152532088e-06,0.00013791352102998644
321,3.1108827442949405e-06,6.709549779770896e-05
322,4.036222435388481e-06,8.603416063124314e-05
323,9.815402336244006e-06,0.0005188854411244392
324,3.548263066477375e-06,0.0002367800916545093
325,3.656785565908649e-06,8.546238677809015e-05
326,2.761772748272051e-06,7.868243847042322e-05
327,2.51956385000085e-06,9.152976417681202e-05
328,2.248759528811206e-06,7.023692160146311e-05
329,2.2748197352484567e-06,9.174409206025302e-05
330,2.246398253191728e-06,7.80944901634939e-05
331,4.612040811480256e-06,0.000271699478616938
332,1.158497434516903e-05,9.691590821603313e-05
333,5.624465302389581e-06,0.00010379382001701742
334,6.270704943744931e-06,9.593206050340086e-05
335,2.944952257166733e-06,0.00010543882672209293
336,2.8507702154456638e-06,0.00010470933193573728
337,2.9229472602310125e-06,5.923058051848784e-05
338,2.813924766087439e-06,0.00019482146308291703
339,2.4039832169364672e-06,9.052823588717729e-05
340,2.4599773951194948e-06,8.75882979016751e-05
